No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
7178,17,D,Acer saccharum,0.118,Med,2017,Acer saccharum,961,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,20.89,0.0,0.47,13.5,12.44,14,49.0,1.0,0,0
7296,17,B,Acer saccharum,0.111,Med,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,17.9,0.0,-0.03,12.9,12.09,14,49.0,1.0,0,0
7034,17,C,Quercus alba,0.122,High,2017,Sterile,1320,Sterile,Sterilized,EMF,Sterile,2018-06-07,15.11,19.25,4.14,19.76,20.15,33,115.5,0.0,0,1
7342,17,D,Acer saccharum,0.118,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,18.34,0.0,-0.09,12.82,12.0,14,49.0,1.0,0,0
7375,18,C,Acer saccharum,0.14,High,2017,Acer saccharum,1757,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,17.8,0.0,0.38,14.0,12.77,14,49.0,1.0,0,0
7376,18,C,Acer saccharum,0.14,High,2016,Acer saccharum,1323,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,17.8,0.0,0.38,14.0,12.77,14,49.0,1.0,0,0
7394,18,C,Acer saccharum,0.14,High,2016,Sterile,561,Sterile,Sterilized,AMF,Sterile,2018-06-01,11.36,0.0,0.19,13.86,12.47,14,49.0,1.0,0,0
7413,18,C,Acer saccharum,0.14,High,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,14.07,0.0,0.08,13.95,12.52,14,49.0,1.0,0,0
7431,18,C,Acer saccharum,0.14,High,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,16.08,0.0,-0.03,13.7,12.82,14,49.0,1.0,0,0
7473,18,A,Acer saccharum,0.141,High,2016,Acer saccharum,561,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,17.94,0.0,0.24,14.15,12.82,14,49.0,1.0,0,0
7536,18,C,Acer saccharum,0.14,High,2016,Sterile,961,Sterile,Sterilized,AMF,Sterile,2018-06-01,11.36,0.0,0.19,13.86,12.47,14,49.0,1.0,0,0
